Category: All categories,,
,,
Month,influenza: (California),flu: (California)
2004-01,1,9
2004-02,2,7
2004-03,1,3
2004-04,1,3
2004-05,1,2
2004-06,<1,2
2004-07,<1,2
2004-08,<1,2
2004-09,1,5
2004-10,2,33
2004-11,1,11
2004-12,1,10
2005-01,1,9
2005-02,2,10
2005-03,1,7
2005-04,1,5
2005-05,1,4
2005-06,1,3
2005-07,1,3
2005-08,1,4
2005-09,1,9
2005-10,2,36
2005-11,3,29
2005-12,2,17
2006-01,2,13
2006-02,2,11
2006-03,2,13
2006-04,1,9
2006-05,1,11
2006-06,1,6
2006-07,1,4
2006-08,1,3
2006-09,1,6
2006-10,1,16
2006-11,1,16
2006-12,1,11
2007-01,1,10
2007-02,2,9
2007-03,1,5
2007-04,1,4
2007-05,1,3
2007-06,1,3
2007-07,<1,3
2007-08,1,2
2007-09,1,5
2007-10,1,13
2007-11,1,11
2007-12,1,8
2008-01,1,8
2008-02,2,11
2008-03,1,7
2008-04,1,4
2008-05,1,3
2008-06,1,3
2008-07,1,2
2008-08,<1,2
2008-09,1,5
2008-10,1,12
2008-11,1,11
2008-12,1,7
2009-01,1,6
2009-02,1,6
2009-03,1,5
2009-04,13,100
2009-05,9,60
2009-06,4,16
2009-07,3,15
2009-08,3,19
2009-09,3,35
2009-10,4,68
2009-11,3,45
2009-12,1,16
2010-01,1,10
2010-02,1,6
2010-03,1,4
2010-04,1,3
2010-05,1,3
2010-06,1,2
2010-07,<1,2
2010-08,1,3
2010-09,1,7
2010-10,1,9
2010-11,1,6
2010-12,1,6
2011-01,1,9
2011-02,1,11
2011-03,1,7
2011-04,1,5
2011-05,<1,4
2011-06,<1,4
2011-07,<1,3
2011-08,<1,4
2011-09,1,8
2011-10,1,12
2011-11,1,9
2011-12,1,9
2012-01,1,9
2012-02,1,9
2012-03,1,8
2012-04,1,5
2012-05,1,4
2012-06,<1,4
2012-07,<1,3
2012-08,<1,4
2012-09,1,9
2012-10,1,13
2012-11,1,12
2012-12,1,12
2013-01,3,45
2013-02,2,17
2013-03,1,9
2013-04,1,7
2013-05,1,5
2013-06,<1,4
2013-07,<1,3
2013-08,<1,4
2013-09,1,10
2013-10,1,16
2013-11,1,12
2013-12,1,13
2014-01,3,37
2014-02,1,15
2014-03,1,7
2014-04,1,6
2014-05,1,5
2014-06,<1,4
2014-07,<1,4
2014-08,<1,4
2014-09,1,10
2014-10,1,18
2014-11,1,12
2014-12,1,14
2015-01,2,20
2015-02,1,12
2015-03,1,9
2015-04,1,8
2015-05,1,7
2015-06,<1,5
2015-07,<1,4
2015-08,<1,4
2015-09,1,9
2015-10,1,15
2015-11,1,13
2015-12,1,13
2016-01,1,11
2016-02,2,13
2016-03,2,10
2016-04,1,7
2016-05,1,7
2016-06,<1,5
2016-07,<1,4
2016-08,<1,5
2016-09,1,11
2016-10,1,15
2016-11,1,12
2016-12,1,13
2017-01,2,16
2017-02,1,12
2017-03,1,9
2017-04,1,8
2017-05,1,7
2017-06,1,6
2017-07,<1,4
2017-08,<1,5
2017-09,1,12
2017-10,1,16
2017-11,1,14
2017-12,2,23
2018-01,5,61
2018-02,3,36
2018-03,2,16
2018-04,1,9
2018-05,1,7
2018-06,<1,5
2018-07,<1,5
2018-08,1,6
2018-09,1,15
2018-10,1,22
2018-11,1,16
2018-12,1,17
2019-01,2,19
2019-02,2,16
2019-03,2,15
2019-04,1,9
2019-05,1,7
2019-06,1,6
2019-07,1,5
2019-08,1,6
2019-09,1,15
2019-10,1,23
2019-11,1,18
2019-12,2,19
